Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
15:50:58,229.7,0.06,2.3,0,50,0.16,,,
15:50:59,229.6,0.06,2.3,0,50,0.16,,,
15:51:01,229.6,0.06,2.4,0,49.9,0.16,,,
15:51:02,229.6,0.06,2.3,0,50,0.16,,,
15:51:03,229.6,0.06,2.4,0,50,0.16,,,
15:51:04,229.6,0.06,2.4,0,49.9,0.16,,,
15:51:05,229.6,0.06,2.3,0,50,0.15,,,
15:51:06,229.7,0.06,2.4,0,50,0.16,,,
15:51:07,229.7,0.06,2.4,0,49.9,0.16,,,
15:51:08,229.7,0.06,2.4,0,50,0.16,,,
15:51:09,229.8,0.06,2.4,0,49.9,0.16,,,
15:51:10,229.8,0.06,2.4,0,50,0.16,,,
15:51:11,229.9,0.06,2.4,0,50,0.16,,,
15:51:12,229.9,0.06,2.4,0,50,0.16,,,
15:51:13,229.9,0.06,2.4,0,50,0.16,,,
15:51:14,230,0.06,2.4,0,50,0.16,,,
15:51:15,230,0.06,2.4,0,50,0.16,,,
15:51:16,230,0.06,2.4,0,50,0.16,,,
15:51:18,230,0.06,2.4,0,50,0.16,,,
15:51:19,230,0.06,2.3,0,50,0.16,,,
15:51:20,230,0.06,2.4,0,50,0.16,,,
15:51:21,229.9,0.06,2.3,0,50,0.16,,,
15:51:22,229.9,0.06,2.3,0,50,0.16,,,
15:51:23,229.9,0.06,2.4,0,50,0.16,,,
15:51:24,229.9,0.06,2.4,0,49.9,0.16,,,
15:51:25,229.9,0.06,2.4,0,50,0.16,,,
15:51:26,229.8,0.06,2.4,0,50,0.16,,,
15:51:27,229.8,0.06,2.4,0,50,0.16,,,
15:51:28,229.8,0.06,2.4,0,50,0.16,,,
15:51:29,229.8,0.06,2.4,0,50,0.16,,,
15:51:30,229.8,0.06,2.3,0,50,0.16,,,
15:51:31,229.8,0.06,2.3,0,50,0.16,,,
15:51:32,229.9,0.06,2.4,0,50,0.16,,,
